dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end
base,dummy,1,{},0.5,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,logistic_regression,1,"{""model__C"": 10.0}",0.5117814463631177,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,logistic_regression,1,"{""model__C"": 10.0}",0.5120117538725312,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_1,logistic_regression,1,"{""model__C"": 10.0}",0.5108060963262235,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,dummy,2,{},0.5,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,logistic_regression,2,"{""model__C"": 0.1}",0.5117283461374104,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
hybrid,logistic_regression,2,"{""model__C"": 10.0}",0.5107453822398652,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_1,logistic_regression,2,"{""model__C"": 10.0}",0.5112230681670709,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,dummy,3,{},0.5,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,logistic_regression,3,"{""model__C"": 10.0}",0.5048300804315521,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,logistic_regression,3,"{""model__C"": 10.0}",0.5043228243429949,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,logistic_regression,3,"{""model__C"": 10.0}",0.5036965254530993,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
